file_path,modality,vocal_channel,emotion_id,emotion,intensity,statement,repetition,actor_id
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-01-01-01-01-01.wav,03,01,01,neutral,01,01,01,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-01-01-01-02-01.wav,03,01,01,neutral,01,01,02,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-01-01-02-01-01.wav,03,01,01,neutral,01,02,01,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-01-01-02-02-01.wav,03,01,01,neutral,01,02,02,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-02-01-01-01-01.wav,03,01,02,calm,01,01,01,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-02-01-01-02-01.wav,03,01,02,calm,01,01,02,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-02-01-02-01-01.wav,03,01,02,calm,01,02,01,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-02-01-02-02-01.wav,03,01,02,calm,01,02,02,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-02-02-01-01-01.wav,03,01,02,calm,02,01,01,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-02-02-01-02-01.wav,03,01,02,calm,02,01,02,1
/home/jupyter-dinuanandcr.23cse/project/Quantum_Audio_Emotion/Quantum_audio/data/raw/RAVDESS/Actor_01/03-01-02-02-02-01-01.wav,03,01,02,calm,02,02,01,1
